timestamp,side,top,bottom
1747667953.479,573,570,551
1747667953.979,574,568,552
1747667954.479,575,573,550
1747667954.979,573,570,550
1747667955.479,572,570,550
1747667955.979,573,572,551
1747667956.479,574,569,554
1747667956.979,573,569,551
1747667957.479,574,569,553
1747667957.979,575,572,553
1747667958.479,575,570,550
1747667958.979,576,567,555
1747667959.479,576,567,549
1747667959.979,573,569,552
1747667960.479,575,572,549
1747667960.979,575,568,550
1747667961.479,574,570,552
1747667961.979,576,569,551
1747667962.479,573,566,552
1747667962.979,573,569,550
1747667963.479,574,569,554
